Symbol,ceiling,floor,ref_price,prior_close_price,match_price,match_vol,accumulated_volume,accumulated_value,avg_match_price,highest,lowest,foreign_buy_volume,foreign_sell_volume,current_room,total_room,total_accumulated_value,total_accumulated_volume,reference_price
PVP,17350,15150,16250,16250,15850,63800,327400,5256,16053.756872327429,16400,15850,0,2200,47060029,50814201,5256.924999999997,3274.0,16250.0
PVD,29150,25350,27250,27250,27700,396100,9041100,251906,27862.317638340468,28100,27300,1103400,260006,195865897,272585042,251906.40499999767,90411.0,27250.0
PTL,3150,2750,2950,2950,2920,7900,26100,76,2936.666666666667,3000,2920,0,4600,0,0,76.647,261.0,2950.0
PTC,5350,4650,5000,5000,4910,300,32400,161,4969.135802469136,5000,4910,0,0,15775964,16153662,161.57500000000005,324.0,5000.0
PTB,64600,56200,60400,60400,59100,14100,215700,12884,59731.1080203987,60400,59100,20800,29600,60168,16734600,12884.44000000002,2157.0,60400.0
PSH,5350,4650,5000,5000,4780,50100,778200,3752,4821.382677974813,5080,4700,0,0,0,0,3752.373000000001,7782.0,5000.0
PPC,13250,11550,12400,12400,12350,17300,116500,1446,12412.017167381975,12500,12350,0,58100,125055149,159855150,1446.7700000000016,1165.0,12400.0
POW,13650,11950,12800,12800,12950,210500,3379200,43548,12887.073863636364,13000,12800,71400,389536,1058139481,1147517084,43548.34000000009,33792.0,12800.0
PNJ,104000,90400,97200,97200,95400,134000,1480600,142019,95919.89733891665,97300,95400,310000,310000,0,165656640,142019.1400000005,14806.0,97200.0
PNC,13350,11650,12500,12500,12750,600,1200,15,12649.999999999998,12800,12500,0,0,5351705,5409718,15.18,12.0,12500.0
PMG,8210,7150,7680,7680,0,0,0,0,0.0,0,0,0,0,13359902,22704776,0.0,0.0,7200.0
PLX,47500,41300,44400,44400,45100,102800,2562100,115341,45018.14917450529,45500,44450,352400,1446133,26087055,258775616,115341.96999999975,25621.0,44400.0
PLP,5080,4420,4750,4750,4770,200,58300,276,4734.133790737565,4860,4620,1100,0,34029696,34300000,276.993,583.0,4750.0
PJT,10700,9300,10000,10000,10400,100,100,1,10400.0,10400,10400,0,0,0,0,1.04,1.0,10000.0
PIT,5670,4930,5300,5300,5400,200,3800,20,5402.105263157895,5440,5400,0,0,0,0,20.528,38.0,5300.0
PHR,62800,54600,58700,58700,58200,10200,140400,8221,58554.13105413105,59400,58100,50100,0,41730095,66394607,8221.119999999999,1404.0,58700.0
PHC,5840,5080,5460,5460,5460,400,5100,27,5454.117647058824,5560,5350,400,0,25293443,25340963,27.816000000000003,51.0,5460.0
PGV,22850,19950,21400,21400,20900,5400,18000,380,21111.11111111111,21400,20900,100,0,561527617,561734023,380.4549999999999,180.0,21400.0
PGI,24900,21700,23300,23300,23300,1000,11000,255,23181.81818181818,23500,23000,4900,0,88247685,110896796,255.76,110.0,23300.0
PGD,34200,29800,32000,32000,0,0,0,0,0.0,0,0,0,0,2085030,48509150,0.0,0.0,31800.0
PGC,15450,13450,14450,14450,14450,100,39700,567,14282.115869017633,14500,14200,10400,0,28293043,29567892,567.2650000000001,397.0,14450.0
PET,27650,24050,25850,25850,25950,26500,300000,7788,25960.0,26150,25750,0,0,0,0,7788.675000000006,3000.0,25850.0
PDR,22000,19200,20600,20600,20800,289200,6320000,132412,20951.26582278481,21150,20750,229700,28357,376746291,436570041,132412.23000000112,63200.0,20600.0
PDN,118600,103200,110900,110900,108000,100,800,86,107500.0,109000,106700,0,0,0,0,86.03,8.0,110900.0
PC1,29750,25950,27850,27850,27550,170100,2481300,68683,27680.248256962077,27900,27550,60800,512601,112899502,155497779,68683.62499999956,24813.0,27850.0
PAN,24650,21450,23050,23050,23100,50300,943900,21796,23091.42917681958,23250,22950,157800,2000,65852598,105984344,21796.58,9439.0,23050.0
PAC,45000,39200,42100,42100,40850,2100,15800,648,41012.6582278481,42500,40700,0,100,17132287,22771136,648.505,158.0,42100.0
ORS,15450,13450,14450,14450,14350,488100,4720800,67379,14272.792746992036,14450,14100,66100,13900,159801100,164639874,67379.41999999997,47208.0,14450.0
OPC,25550,22250,23900,23900,23300,700,1100,25,23304.545454545452,23350,23300,0,0,0,0,25.634999999999998,11.0,23900.0
OGC,4470,3890,4180,4180,4080,6100,182900,752,4111.536358665938,4200,4080,0,7400,146270744,147000000,752.375,1829.0,4180.0
OCB,13600,11900,12750,12750,12800,353600,5956500,76732,12882.061613363552,13100,12750,186200,1255400,29147674,542473613,76732.1750000006,59565.0,12750.0
NVT,8560,7440,8000,8000,0,0,0,0,0.0,0,0,0,0,45139580,45250000,0.0,0.0,8000.0
NVL,11600,10100,10850,10850,10850,383900,5339800,58287,10915.577362448032,11000,10850,699400,440699,863249702,955551223,58287.064999999784,53398.0,10850.0
NTL,21950,19150,20550,20550,20650,109700,2012000,41730,20740.55666003976,20850,20600,10000,12900,52734349,59770151,41730.325000000135,20120.0,20550.0
NT2,21000,18300,19650,19650,19650,3600,194100,3809,19623.90520350335,19800,19500,1500,20200,102863674,141059254,3809.6199999999976,1941.0,19650.0
NSC,83900,73100,78500,78500,0,0,0,0,0.0,0,0,0,0,7217320,8617624,0.0,0.0,78500.0
NO1,9230,8030,8630,8630,9200,49200,469000,4085,8710.02132196162,9200,8400,0,0,11736900,11760000,4085.7339999999986,4690.0,8630.0
NNC,23700,20600,22150,22150,22100,8000,15000,329,21933.333333333332,22100,21600,0,100,9619829,10740800,329.57000000000005,150.0,22150.0
NLG,43000,37400,40200,40200,39900,60900,1569500,62854,40047.148773494744,40300,39900,278300,446500,974866,192388735,62854.905000000086,15695.0,40200.0
NKG,23100,20100,21600,21600,21700,130000,4992100,108386,21711.504176599028,21900,21550,55200,130094,104588093,131638903,108386.92499999964,49921.0,21600.0
NHT,13150,11450,12300,12300,12200,100,12800,157,12265.625,12350,12200,0,0,11283062,12014084,157.48999999999998,128.0,12300.0
NHH,15500,13500,14500,14500,14300,21000,122600,1760,14355.628058727569,14500,14250,0,18400,72303782,72880000,1760.1849999999995,1226.0,14500.0
NHA,25750,22450,24100,24100,24100,26600,290900,7021,24135.441732554144,24300,23900,0,66100,21282020,21645514,7021.574999999999,2909.0,24100.0
NCT,121900,106100,114000,114000,109600,1100,16400,1809,110304.87804878049,112500,109000,0,1900,3852466,7850082,1809.72,164.0,114000.0
NBB,24050,20950,22500,22500,22450,5700,13400,298,22238.805970149253,22450,22000,0,0,49728167,50237828,298.45,134.0,22500.0
NAV,19550,17050,18300,18300,18300,700,1800,32,18300.000000000004,18300,18300,0,0,3848910,3920000,32.940000000000005,18.0,18300.0
NAF,22650,19750,21200,21200,20750,26500,281800,5885,20883.60539389638,21100,20750,5600,38700,49338944,62923085,5885.4950000000035,2818.0,21200.0
NAB,17750,15450,16600,16600,16400,71900,1390300,22972,16523.052578580162,16700,16400,0,67915,381893755,396765165,22972.580000000027,13903.0,16600.0
MWG,70900,61700,66300,66300,66400,452200,5272300,350137,66410.67465811885,66800,66200,515500,710831,29010455,716499646,350137.2000000049,52723.0,66300.0
MSN,81300,70700,76000,76000,75600,417500,3189400,242090,75904.55885119458,76400,75500,192000,114491,314557055,741334762,242090.76999999935,31894.0,76000.0
MSH,48850,42550,45700,45700,45600,4900,78400,3603,45956.63265306123,46400,45600,0,3300,33493709,36756909,3603.8249999999975,784.0,45700.0
MSB,13700,12000,12850,12850,12650,2148400,13367900,170536,12757.127147869149,12900,12650,401300,524000,9921052,780000000,170536.51999999874,133679.0,12850.0
MIG,18100,15800,16950,16950,16850,127400,376600,6332,16813.59532660648,16950,16600,243300,82640,144244123,172672500,6332.149999999994,3766.0,16950.0
MHC,7650,6650,7150,7150,7070,4300,7600,53,7090.131578947367,7190,7050,0,0,19816151,20289412,53.88499999999999,76.0,7150.0
MDG,11050,9630,10350,10350,10900,100,100,1,10900.0,10900,10900,0,0,5335025,5335625,1.09,1.0,10350.0
MCP,29950,26050,28000,28000,28300,2700,3000,84,28000.0,28300,28000,0,0,0,0,84.81,30.0,28000.0
MCM,39650,34550,37100,37100,36700,2500,18200,669,36758.241758241755,37000,36700,0,0,108962680,110000000,669.25,182.0,37100.0
MBB,27250,23750,25500,25500,25100,2182700,18601300,470172,25276.297893158004,25500,25100,357500,355600,0,1232929699,470172.93500000145,186013.0,25500.0
