Symbol,short_name,industry
PAC,Pin Ắc quy Miền Nam,Hàng & Dịch vụ Công nghiệp
OGC,Tập đoàn Đại Dương,Dịch vụ tài chính
NVL,Novaland,Bất động sản
NTL,Đô thị Từ Liêm,Bất động sản
NT2,Điện lực Nhơn Trạch 2,"Điện, nước & xăng dầu khí đốt"
NNC,Đá Núi Nhỏ,Xây dựng và Vật liệu
NLG,BĐS Nam Long,Bất động sản
NKG,Thép Nam Kim,Tài nguyên Cơ bản
NHH,Nhựa Hà Nội,Hóa chất
NCT,DV Hàng hóa Nội Bài,Hàng & Dịch vụ Công nghiệp
NBB,577 CORP,Bất động sản
NAF,Nafoods Group,Thực phẩm và đồ uống
MWG,Thế giới di động,Bán lẻ
MSN,Tập đoàn Masan,Thực phẩm và đồ uống
MSH,May Sông Hồng,Hàng cá nhân & Gia dụng
MSB,MSB Bank,Ngân hàng
MHC,CTCP MHC,Hàng & Dịch vụ Công nghiệp
MCP,In và Bao bì Mỹ Châu,Hàng & Dịch vụ Công nghiệp
MBB,MBBank,Ngân hàng
LSS,Mía đường Lam Sơn,Thực phẩm và đồ uống
LPB,LPBank,Ngân hàng
LIX,Bột Giặt Lix,Hàng cá nhân & Gia dụng
LHG,KCN Long Hậu,Bất động sản
LGL,Long Giang Land,Bất động sản
LDG,Đầu tư LDG,Bất động sản
LCG,LIZEN,Xây dựng và Vật liệu
LBM,Khoáng sản Lâm Đồng,Xây dựng và Vật liệu
KSB,Khoáng sản Bình Dương,Tài nguyên Cơ bản
KPF,Đầu tư Tài sản KOJI,Xây dựng và Vật liệu
